source,target,relation,weight
doc:0,case:unknown_case,belongs_to,1
doc:0,topic:ai,mentions_topic,1
doc:0,topic:budget,mentions_topic,1
doc:0,topic:healthcare,mentions_topic,1
doc:0,topic:transport,mentions_topic,1
doc:0,topic:governance,mentions_topic,1
doc:0,"person:Regionfullmäktige 
 
KALLELSE",mentions_person,1
doc:0,person:DAGORDNING  RS,mentions_person,1
doc:0,person:Plats Landstingshuset,mentions_person,1
doc:0,"person:Stockholm  
 Ingång",mentions_person,1
doc:0,person:Mikael Sundesten,mentions_person,1
doc:0,"person:Regionfullmäktige 
 
Dagordning",mentions_person,1
doc:0,person:Amelie Tarschys Ingre,mentions_person,1
doc:0,person:Amelie Tarschys Ingre,mentions_person,1
doc:0,person:Kristoffer Tamsons,mentions_person,1
doc:0,person:Axel Conradi,mentions_person,1
doc:0,"person:Life Science-hub  
 RS",mentions_person,1
doc:0,person:Axel Conradi,mentions_person,1
doc:0,person:Axel Conradi,mentions_person,1
doc:0,person:Kristoffer Tamsons,mentions_person,1
doc:0,person:Karl Henriksson,mentions_person,1
doc:1,case:unknown_case,belongs_to,1
doc:1,topic:healthcare,mentions_topic,1
doc:1,topic:transport,mentions_topic,1
doc:1,topic:governance,mentions_topic,1
doc:1,person:Charlotte Broberg,mentions_person,1
doc:1,person:Carl-Johan Schiller,mentions_person,1
doc:1,person:Amelie Tarschys Ingre,mentions_person,1
doc:1,person:Axel Conradi,mentions_person,1
doc:1,person:Carl-Johan Schiller,mentions_person,1
doc:1,person:Amelie Tarschys Ingre,mentions_person,1
doc:1,person:Daniel Dronjak,mentions_person,1
doc:1,"person:Tvärförbindelse 
Södertörn 
RS",mentions_person,1
doc:1,person:Amelie Tarschys Ingre,mentions_person,1
doc:1,person:Anna Malm Kelfve,mentions_person,1
doc:1,person:Maria Leissner,mentions_person,1
doc:1,person:Pär Hommerberg,mentions_person,1
doc:2,case:RS-2026-0210,belongs_to,1
doc:2,topic:healthcare,mentions_topic,1
doc:2,topic:transport,mentions_topic,1
doc:2,topic:governance,mentions_topic,1
doc:2,"person:Moderaterna 
INTERPELLATION",mentions_person,1
doc:2,person:Susanne Sjöblom,mentions_person,1
doc:2,"person:Region 
Stockholms",mentions_person,1
doc:2,person:Enligt Socialstyrelsen,mentions_person,1
doc:2,person:Region Skåne,mentions_person,1
doc:2,person:Moderaterna  INTERPELLATION,mentions_person,1
doc:2,person:Moderaterna  INTERPELLATION,mentions_person,1
doc:2,"person:Susanne Sjöblom 
Moderaterna",mentions_person,1
doc:3,case:RS-2026-0210,belongs_to,1
doc:3,topic:healthcare,mentions_topic,1
doc:3,topic:transport,mentions_topic,1
doc:3,topic:governance,mentions_topic,1
doc:3,person:Talla Alkurdi,mentions_person,1
doc:3,person:RS RS,mentions_person,1
doc:3,person:Susanne Sjöblom,mentions_person,1
doc:3,person:Susanne Sjöblom,mentions_person,1
doc:3,person:RS RS,mentions_person,1
doc:3,person:Att Region Skåne,mentions_person,1
doc:3,person:Region Skåne,mentions_person,1
doc:3,person:Region Skåne,mentions_person,1
doc:3,person:Rädda Liv,mentions_person,1
doc:3,person:RS RS,mentions_person,1
doc:3,person:Talla Alkurdi,mentions_person,1
doc:4,case:RS-2026-0213,belongs_to,1
doc:4,topic:healthcare,mentions_topic,1
doc:4,topic:governance,mentions_topic,1
doc:4,"person:Moderaterna 
INTERPELLATION",mentions_person,1
doc:4,person:Susanne Sjöblom,mentions_person,1
doc:4,person:Om Region Stockholm,mentions_person,1
doc:4,person:Moderaterna  INTERPELLATION,mentions_person,1
doc:4,"person:Susanne Sjöblom 
Moderaterna",mentions_person,1
doc:5,case:RS-2026-0213,belongs_to,1
doc:5,topic:healthcare,mentions_topic,1
doc:5,topic:governance,mentions_topic,1
doc:5,person:Talla Alkurdi,mentions_person,1
doc:5,person:Susanne Sjöblom,mentions_person,1
doc:5,person:Susanne Sjöblom,mentions_person,1
doc:5,person:Regionalt Cancercentrum,mentions_person,1
doc:5,person:Stockholm Gotland,mentions_person,1
doc:5,person:Talla Alkurdi,mentions_person,1
doc:6,case:RS-2026-0214,belongs_to,1
doc:6,topic:budget,mentions_topic,1
doc:6,topic:transport,mentions_topic,1
doc:6,topic:governance,mentions_topic,1
doc:6,person:Moderaterna INTERPELLATION,mentions_person,1
doc:6,person:Mötesplats Nacka,mentions_person,1
doc:6,"person:Moderaterna 
 
INTERPELLATION",mentions_person,1
doc:6,"person:Nacka 
Centrum",mentions_person,1
doc:6,person:Nacka Centrum,mentions_person,1
doc:7,case:RS-2026-0214,belongs_to,1
doc:7,topic:budget,mentions_topic,1
doc:7,topic:healthcare,mentions_topic,1
doc:7,topic:transport,mentions_topic,1
doc:7,topic:governance,mentions_topic,1
doc:7,"person:Investeringsregionrådet 
Jens Sjöström",mentions_person,1
doc:7,"person:Nacka 
Centrum",mentions_person,1
doc:7,person:Nacka Centrum,mentions_person,1
doc:7,person:Mötesplats Nacka,mentions_person,1
doc:7,person:Jens Sjöström,mentions_person,1
doc:8,case:RS-2026-0368,belongs_to,1
doc:8,topic:healthcare,mentions_topic,1
doc:8,topic:transport,mentions_topic,1
doc:8,topic:governance,mentions_topic,1
doc:8,person:Amelie Tarschys Ingre,mentions_person,1
doc:8,person:Karolinska Institutet,mentions_person,1
doc:8,"person:Region 
Stockholm",mentions_person,1
