id,label,type,meeting_date,case_id,document_type,path
doc:0,Kallelse_med_dagordning_till_regionfullmäktiges_sammanträde_den_5_maj_2026,document,2026-05-05,unknown_case,document,/home/demo/data/2026-05-05/0._Kallelse_med_dagordning_för_regionfullmäktiges_sammanträde_den_5_maj_2026/Kallelse_med_dagordning_till_regionfullmäktiges_sammanträde_den_5_maj_2026.pdf
case:unknown_case,unknown_case,case,,,,
topic:ai,ai,topic,,,,
topic:budget,budget,topic,,,,
topic:healthcare,healthcare,topic,,,,
topic:transport,transport,topic,,,,
topic:governance,governance,topic,,,,
"person:Regionfullmäktige 
 
KALLELSE","Regionfullmäktige 
 
KALLELSE",person,,,,
person:DAGORDNING  RS,DAGORDNING  RS,person,,,,
person:Plats Landstingshuset,Plats Landstingshuset,person,,,,
"person:Stockholm  
 Ingång","Stockholm  
 Ingång",person,,,,
person:Mikael Sundesten,Mikael Sundesten,person,,,,
"person:Regionfullmäktige 
 
Dagordning","Regionfullmäktige 
 
Dagordning",person,,,,
person:Amelie Tarschys Ingre,Amelie Tarschys Ingre,person,,,,
person:Kristoffer Tamsons,Kristoffer Tamsons,person,,,,
person:Axel Conradi,Axel Conradi,person,,,,
"person:Life Science-hub  
 RS","Life Science-hub  
 RS",person,,,,
person:Karl Henriksson,Karl Henriksson,person,,,,
doc:1,Tilläggslista_till_regionfullmäktige_den_5_maj_2026,document,2026-05-05,unknown_case,document,/home/demo/data/2026-05-05/0._Kallelse_med_dagordning_för_regionfullmäktiges_sammanträde_den_5_maj_2026/Tilläggslista_till_regionfullmäktige_den_5_maj_2026.pdf
person:Charlotte Broberg,Charlotte Broberg,person,,,,
person:Carl-Johan Schiller,Carl-Johan Schiller,person,,,,
person:Daniel Dronjak,Daniel Dronjak,person,,,,
"person:Tvärförbindelse 
Södertörn 
RS","Tvärförbindelse 
Södertörn 
RS",person,,,,
person:Anna Malm Kelfve,Anna Malm Kelfve,person,,,,
person:Maria Leissner,Maria Leissner,person,,,,
person:Pär Hommerberg,Pär Hommerberg,person,,,,
doc:2,Interpellation_2026_11_av_Susanne_Sjöblom_(M)_om_Region_Stockholms_jämlika_regler_för_blodgivning_oavsett_sexuell_läggning,document,2026-05-05,RS-2026-0210,interpellation,/home/demo/data/2026-05-05/10._Bordlagd_interpellation_2026_11_av_Susanne_Sjöblom_(M)_om_Region_Stockholms_jämlika_regler_för_blodgivning_oavsett_sexuell_läggning_RS_2026-0210/Interpellation_2026_11_av_Susanne_Sjöblom_(M)_om_Region_Stockholms_jämlika_regler_för_blodgivning_oavsett_sexuell_läggning.pdf
